date,tmax,tmin,tave,precipitation
1/4/2013,12.6,1,7,0.3
2/4/2013,7.8,-2,3,0
3/4/2013,6.2,-1,3,0
4/4/2013,5,1.1,3,2.1
5/4/2013,8,2.9,5,13.1
6/4/2013,5.5,1,3,9.5
7/4/2013,3,0.4,2,0.3
8/4/2013,6,-3,2,0
9/4/2013,9,-4,3,0
10/4/2013,11.5,1.9,7,0
11/4/2013,11.1,1,6,0
12/4/2013,14,1,8,0
13/04/2013,9.1,5,7,5.1
14/04/2013,14.3,7,11,4.1
15/04/2013,10.4,5.9,8,0
16/04/2013,18.2,2,10,0
17/04/2013,18.5,3,11,0
18/04/2013,20.7,3,12,0
19/04/2013,23,5,14,0
20/04/2013,23.9,7,15,0
21/04/2013,14,6,10,0
22/04/2013,13.8,3,8,0
23/04/2013,19.4,1,10,0
24/04/2013,20.3,9,15,0
25/04/2013,20.8,6,13,0
26/04/2013,21.8,6,14,0
27/04/2013,29.2,15,22,0
28/04/2013,28.7,15,22,0
29/04/2013,20.2,11,16,0
30/04/2013,27.2,12.9,20,0
1/5/2013,27.2,9,18,0
2/5/2013,20.8,7.4,14,0
3/5/2013,25.7,9,17,0
4/5/2013,28.5,14,21,0
5/5/2013,22.3,11,17,0
6/5/2013,22.3,7,15,0
7/5/2013,23,5,14,0
8/5/2013,25.4,8,17,0
9/5/2013,27.8,9,18,0
10/5/2013,28.4,12,20,0
11/5/2013,29.3,10,20,0
12/5/2013,28.9,11,20,0
13/05/2013,24,11,18,0
14/05/2013,27.6,14.9,21,6.9
15/05/2013,26,15,21,0.3
16/05/2013,25.4,15,20,5.1
17/05/2013,26.9,14,20,4
18/05/2013,27.7,15,21,5.1
19/05/2013,26.3,14,20,4.6
20/05/2013,28.6,14,21,0
21/05/2013,25.7,14,20,2
22/05/2013,20.2,13,17,5.4
23/05/2013,19.1,13.7,16,4.1
24/05/2013,21.5,12,17,1
25/05/2013,20.6,10,15,0
26/05/2013,25.7,10,18,0.8
27/05/2013,24.7,9,17,5.1
